Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
08/08/2008,T,4,93,72,7
08/08/2008,N,1,36,34,92
09/08/2008,T,8,35,58,57
09/08/2008,N,7,10,13,15
10/08/2008,T,5,61,13,50
10/08/2008,N,1,42,85,13
11/08/2008,T,5,47,98,49
11/08/2008,N,3,33,17,57
12/08/2008,T,7,3,44,76
12/08/2008,N,2,59,79,83
13/08/2008,T,5,87,71,47
13/08/2008,N,5,50,92,86
14/08/2008,T,9,7,12,60
14/08/2008,N,2,11,41,9
15/08/2008,T,6,79,43,22
15/08/2008,N,6,67,99,52
16/08/2008,T,5,89,18,82
16/08/2008,N,4,35,39,5
17/08/2008,T,8,46,48,25
17/08/2008,N,3,9,34,25
18/08/2008,T,6,29,90,46
18/08/2008,N,9,53,31,58
19/08/2008,T,6,55,46,28
19/08/2008,N,9,44,19,58
20/08/2008,T,2,66,19,58
20/08/2008,N,6,10,15,2
21/08/2008,T,3,81,14,52
21/08/2008,N,5,84,63,96
22/08/2008,T,9,5,55,71
22/08/2008,N,9,95,35,77
23/08/2008,T,7,27,93,51
23/08/2008,N,9,8,82,47
24/08/2008,T,4,85,54,85
24/08/2008,N,2,90,1,28
25/08/2008,T,5,43,5,31
25/08/2008,N,3,17,36,85
26/08/2008,T,9,73,95,69
26/08/2008,N,4,38,74,76
27/08/2008,T,4,29,69,22
27/08/2008,N,0,15,45,8
28/08/2008,T,0,16,42,82
28/08/2008,N,5,33,28,68
29/08/2008,T,2,49,78,75
29/08/2008,N,2,37,76,85
30/08/2008,T,7,58,96,19
30/08/2008,N,0,74,43,7
31/08/2008,T,7,10,34,91
31/08/2008,N,8,26,64,64
01/09/2008,T,9,12,36,3
01/09/2008,N,0,98,27,97
02/09/2008,T,8,62,23,18
02/09/2008,N,3,9,69,45
03/09/2008,T,2,43,22,65
03/09/2008,N,8,97,3,89
04/09/2008,T,0,42,62,35
04/09/2008,N,3,90,70,10
05/09/2008,T,6,66,2,93
05/09/2008,N,9,75,90,76
06/09/2008,T,9,56,45,88
06/09/2008,N,1,53,29,26
07/09/2008,T,9,74,37,57
07/09/2008,N,2,40,13,71
08/09/2008,T,3,63,40,30
08/09/2008,N,1,61,89,12
09/09/2008,T,8,54,22,5
09/09/2008,N,0,60,4,57
10/09/2008,T,0,98,50,5
10/09/2008,N,8,55,80,56
11/09/2008,T,6,7,66,66
11/09/2008,N,9,5,70,42
12/09/2008,T,2,59,80,30
12/09/2008,N,7,84,10,60
13/09/2008,T,8,0,58,93
13/09/2008,N,0,9,43,14
14/09/2008,T,9,44,33,94
14/09/2008,N,1,32,37,17
15/09/2008,T,1,10,53,22
15/09/2008,N,7,10,62,33
16/09/2008,T,3,67,44,4
16/09/2008,N,5,47,71,99
17/09/2008,T,0,65,23,40
